"id","tx","ty","tz","rx","ry","rz"
11,0.0911156,0.929663,3.54212,-0.0652507,-3.0009,-0.20354
19,0.443156,0.86405,3.46482,-0.62466,-2.92321,-0.188736
23,0.595609,0.783108,3.40854,-0.881768,-2.8329,-0.202323
17,0.373523,0.710567,3.46588,-0.634646,-2.9177,-0.171971
1,-0.199323,0.709774,3.59121,0.488899,-2.99113,-0.210809
27,0.752183,0.67458,3.39871,-1.15632,-2.73476,-0.152446
21,0.501088,0.646281,3.4219,-0.879567,-2.83668,-0.178935
66,-0.291747,0.608803,3.59645,3.15041,0.997754,-0.147939
31,0.865317,0.544867,3.35329,-1.398,-2.61809,-0.144556
140,-0.0145546,0.558077,3.54186,0.262236,-3.02019,-0.228871
150,0.413072,0.490726,3.42948,-0.877581,-2.8527,-0.204098
132,-0.240113,0.489499,3.57194,0.920706,-2.91402,-0.237963
29,0.726054,0.451456,3.37455,-1.39097,-2.6214,-0.140712
35,0.955345,0.411024,3.33743,-1.59291,-2.44595,-0.114759
58,-0.49567,0.439974,3.6419,-2.66041,-1.38207,0.0892273
151,0.509861,0.409577,3.40406,-1.20178,-2.71563,-0.165341
143,0.0233018,0.382635,3.52979,0.246004,-3.04203,-0.222687
131,-0.346803,0.398262,3.58528,1.23761,-2.81434,-0.26292
153,0.329129,0.332313,3.43816,-0.731549,-2.91551,-0.219214
152,0.58382,0.313722,3.38347,-1.43578,-2.59684,-0.173354
130,-0.423031,0.291936,3.59377,1.45373,-2.7028,-0.237868
48,-0.794014,0.242474,3.66396,-2.36393,-1.81946,0.106443
135,-0.0834323,0.154544,3.53437,1.13677,-2.89319,-0.201863
155,0.259831,0.147409,3.441,-1.14061,-2.79133,-0.205113
160,0.678164,0.135478,3.36049,-1.7589,-2.35566,-0.136283
43,1.06285,0.102146,3.31741,-1.97534,-2.1243,-0.0432491
44,-0.831388,0.0717794,3.65371,-2.18111,-2.03181,0.0728871
163,0.505517,0.0689424,3.39284,-1.84388,-2.29574,-0.138961
161,0.700209,0.0105506,3.3482,-1.92805,-2.1892,-0.142239
165,0.332146,-0.0203037,3.42007,-1.98121,-2.20623,-0.163531
42,-0.665762,-0.0686079,3.61654,-1.99587,-2.21049,0.0667508
47,1.07243,-0.0620163,3.30085,-2.13739,-1.94093,-0.0299878
121,-0.515626,-0.095254,3.6034,2.31588,-2.06268,-0.227881
162,0.702524,-0.117979,3.33882,-2.16833,-1.94158,-0.133346
49,0.885778,-0.197676,3.31838,-2.29309,-1.70382,-0.0394437
175,0.283613,-0.218893,3.40275,-2.68578,-1.14972,-0.0941102
51,1.05547,-0.243892,3.30155,-2.29744,-1.70885,0.018915
34,-0.610477,-0.318405,3.5733,-1.58429,-2.52816,0.0602932
112,-0.424705,-0.360895,3.54185,2.67078,-1.54959,-0.251821
170,0.601516,-0.35792,3.33099,-2.49273,-1.35723,-0.120857
32,-0.768273,-0.39505,3.60306,-1.58044,-2.5236,0.0511356
113,-0.141642,-0.399736,3.47973,-3.04172,0.945432,0.194398
30,-0.552727,-0.430158,3.54496,-1.37096,-2.6553,0.0613624
55,1.0128,-0.414842,3.32936,2.80366,1.7691,-0.327098
111,-0.337779,-0.473253,3.51175,2.81577,-1.28713,-0.225859
171,0.520676,-0.455861,3.33982,-2.62435,-1.01917,-0.0865087
28,-0.693268,-0.530381,3.56272,-1.37847,-2.66416,0.0609373
26,-0.472865,-0.540272,3.53232,-1.14124,-2.7668,0.0523633
172,0.411841,-0.528776,3.35648,-2.73124,-0.62547,-0.105891
59,0.927925,-0.56694,3.31713,-2.46577,-1.22787,0.110734
61,0.694559,-0.574894,3.31762,-2.82115,-1.18295,0.368399
100,0.210426,-0.612495,3.39017,-3.11177,-0.418171,0.271247
22,-0.363072,-0.638922,3.4992,-0.863932,-2.85912,0.0385419
24,-0.592974,-0.663208,3.53993,-1.13336,-2.76665,0.041947
65,0.593746,-0.668079,3.32324,3.01659,0.972616,-0.357105
63,0.820402,-0.701424,3.31411,-2.81785,-1.17417,0.292625
20,-0.456126,-0.781349,3.49653,-0.857797,-2.85648,0.0363969
6,0.143165,-0.785018,3.37935,0.206146,-2.93873,-0.00973709
67,0.697064,-0.815104,3.32702,3.05038,0.983625,-0.369971
4,0.167213,-0.959131,3.38201,0.211577,-2.93675,-0.0438239
13,0.233122,0.749229,3.49773,-0.354335,-2.97604,-0.207384
60,-0.516646,0.652799,3.63255,-2.74461,-1.13016,0.121939
25,0.628468,0.555026,3.39816,-1.15178,-2.71991,-0.163782
33,0.798592,0.34052,3.34983,-1.58775,-2.45787,-0.144121
39,1.02039,0.263982,3.3238,-1.78008,-2.29016,-0.0831829
46,-0.658293,0.0613464,3.62305,-2.17599,-2.03559,0.0903277
124,-0.332981,-0.00559005,3.56113,2.0862,-2.24117,-0.234173
45,0.901012,-0.0485182,3.32887,-2.17514,-1.99286,-0.0355391
164,0.518383,-0.0575845,3.37457,-2.01755,-2.12308,-0.164315
40,-0.836709,-0.087577,3.63516,-1.98499,-2.2189,0.0845784
120,-0.487818,-0.22616,3.56912,-2.54078,1.9024,0.238009
173,0.468421,-0.285487,3.364,-2.46428,-1.48907,-0.155512
103,0.150535,-0.445644,3.42645,-2.83,-0.205589,-0.116841
104,0.00728544,-0.452867,3.45551,-2.83586,0.361955,-0.163654
102,-0.0740087,-0.61369,3.44945,-2.70932,0.480057,-0.197126
101,0.07181,-0.633872,3.42727,3.12158,0.074831,-0.27244
10,0.0164133,-0.784806,3.40933,-0.0502509,-2.9449,-0.0195109
16,-0.316445,-0.867576,3.47227,-0.595839,-2.90988,0.00180302
0,0.335945,-0.929781,3.354,0.488959,-2.91488,-0.05639
15,0.272209,0.910284,3.4922,-0.358575,-2.9644,-0.204008
7,-0.0747926,0.916567,3.573,0.198615,-2.99801,-0.213191
3,-0.2505,0.868216,3.59826,0.488864,-2.98411,-0.229606
9,0.0825499,0.761401,3.53171,-0.0664492,-3.00765,-0.239268
5,-0.054253,0.749625,3.56226,0.196056,-3.03094,-0.231546
64,-0.38905,0.748701,3.62425,-2.84825,-0.903965,0.137576
141,0.127205,0.564676,3.51529,-0.0916886,-3.01851,-0.229614
142,0.268444,0.549556,3.47926,-0.396,-2.98201,-0.22082
62,-0.396832,0.531688,3.60046,-2.74675,-1.12959,0.111716
56,-0.631143,0.534143,3.64302,-2.63606,-1.36542,0.0968301
144,0.182282,0.383657,3.48647,-0.374075,-2.97568,-0.239443
52,-0.72371,0.396572,3.65248,-2.50063,-1.58683,0.0969169
134,-0.156164,0.336468,3.56006,0.883819,-2.9399,-0.208849
54,-0.571941,0.327026,3.6446,-2.52911,-1.60345,0.073602
145,0.0889608,0.236998,3.49493,-0.0767976,-3.04799,-0.238341
154,0.434162,0.241244,3.40856,-1.34463,-2.66875,-0.192824
37,0.853988,0.219749,3.34247,-1.78589,-2.31475,-0.102295
133,-0.271268,0.208557,3.57548,1.49298,-2.70044,-0.203819
50,-0.629255,0.201069,3.64957,-2.37228,-1.83072,0.05921
41,0.886878,0.0864458,3.32306,-1.97417,-2.12753,-0.115196
122,-0.51658,0.0394968,3.60127,2.05117,-2.31175,-0.22141
125,-0.159963,-0.0619419,3.5461,-2.20184,2.02274,-0.203655
123,-0.313573,-0.162257,3.55816,2.53195,-1.79181,-0.181726
38,-0.649288,-0.198731,3.59871,-1.78474,-2.38127,0.0567063
115,-0.0860776,-0.229308,3.49318,2.7996,-1.20138,-0.117811
36,-0.813958,-0.246896,3.61573,-1.7891,-2.38346,0.0606942
105,0.0805132,-0.279709,3.45238,-2.90032,0.068841,-0.11777
114,-0.25677,-0.300111,3.5198,-2.80764,1.4971,0.223518
53,0.845312,-0.335858,3.31595,-2.40765,-1.47359,0.0247882
174,0.346134,-0.373367,3.38289,3.02322,0.754196,-0.335683
57,0.781518,-0.462816,3.32175,-2.49979,-1.23838,-0.00925214
110,-0.226335,-0.565676,3.49277,3.00601,-0.800397,-0.197485
18,-0.249684,-0.709611,3.47145,-0.604208,-2.91313,0.0114233
14,-0.122117,-0.758837,3.44469,-0.333761,-2.94577,0.0140929
2,0.281278,-0.765182,3.36473,0.482748,-2.8978,-0.0131188
12,-0.159165,-0.924909,3.43307,-0.324278,-2.9394,-0.00675828
8,0.011065,-0.957468,3.40634,-0.0484966,-2.9515,-0.0375579
